"InChIKey","ClassyFy_Status","Kingdom","Superclass","Class","Subclass","Parent_Level_1","Parent_Level_2","Parent_Level_3","Parent_Level_4","Parent_Level_5","Parent_Level_6"
"UWSDONTXWQOZFN-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Piperidines","Nitrosopiperidines","Nitrosopiperidines",NA,NA,NA,NA,NA
"XKJCHHZQLQNZHY-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Isoindoles and derivatives","Isoindolines","Isoindolones","Phthalimides",NA,NA,NA,NA
"GDXJMOGWONJRHL-FXRWJBKJSA-N","Completed","Organic compounds","Alkaloids and derivatives","Ajmaline-sarpagine alkaloids",NA,"Ajmaline-sarpagine alkaloids",NA,NA,NA,NA,NA
"FAXXHNWVMKTOFF-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzodioxoles",NA,"Benzodioxoles",NA,NA,NA,NA,NA
"BEBPORIYFVRVCP-UHFFFAOYSA-N","Completed","Organic compounds","Hydrocarbons","Saturated hydrocarbons","Alkanes","Branched alkanes",NA,NA,NA,NA,NA
"KBHXFAMQPPWLFT-NUXWGMRISA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides",NA,NA,NA,NA,NA
"TZPGGHIYBMWPBI-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Diterpene glycosides",NA,NA,NA,NA,NA
"LISLGICORSJAKO-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthopyrans",NA,"Naphthopyrans",NA,NA,NA,NA,NA
"NKKFJSGYALGMHM-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTLYLWQDKQVONL-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",NA,NA,NA,NA,NA
"SYUGMRBPIZCCOR-OWOJBTEDSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OVSKIKFHRZPJSS-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenoxyacetic acid derivatives","Chlorophenoxyacetates",NA,NA,NA,NA,NA
"FUJLYHJROOYKRA-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",NA,NA,NA,NA,NA
"VFUSKSIAISUKGN-DUNCQPMOSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",NA,NA,NA,NA,NA
"OEMJXSVJXPIFMA-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives","Phenylquinolines","Phenylquinolines",NA,NA,NA,NA,NA
"JDGNFRYDHRYXNL-ROHJGGRPSA-N","Completed","Organic compounds","Alkaloids and derivatives","Stemona alkaloids","Stemoamide-type alkaloids","Stemoamide-type alkaloids",NA,NA,NA,NA,NA
"GLMFFCVWRKKBJB-YVAUPFRZSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Aconitane-type diterpenoid alkaloids",NA,NA,NA,NA,NA
"SATMZMMKDDTOSQ-UHFFFAOYSA-N","Completed","Organic compounds","Alkaloids and derivatives","Harmala alkaloids",NA,"Harmala alkaloids",NA,NA,NA,NA,NA
"NGGMYCMLYOUNGM-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",NA,NA,NA,NA,NA
"IBIPGYWNOBGEMH-UHFFFAOYNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds",NA,NA,NA,NA
"OXHNQTSIKGHVBH-JSRAGOMMSA-N","No Data Available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CBJWWPFFZRSLMX-WGPKDLKGNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-alkyl,2-acylglycero-3-phosphocholines",NA,NA,NA,NA,NA
"QNDVLZJODHBUFM-WFXQOWMNSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ethers","Acetals","Ketals",NA,NA,NA,NA
"ARZWATDYIYAUTA-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolines and derivatives",NA,"Quinolines and derivatives",NA,NA,NA,NA,NA
"XHFZCGJKWBSHAG-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Depsipeptides","Depsipeptides",NA,NA,NA,NA,NA
"RRUDCFGSUDOHDG-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","Carboxylic acid amides","Primary carboxylic acid amides","Hydroxamic acids","Acetohydroxamic acids",NA,NA
"ZGUNMNCNGJXADK-UHFFFAOYNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Ketones","Aryl ketones","Phenylketones","Alkyl-phenylketones",NA,NA
"QQTKVXCQLZIJPP-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Ethers","Diarylethers",NA,NA,NA,NA,NA
"DSADZYPPAGRNLW-XCVUNFFJSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Bile acids, alcohols and derivatives",NA,NA,NA,NA,NA
"JYVUJRZNVDPIMB-UHFFFAOYSA-N","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFIQVSCCFRXSJV-UFTBQYHPSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"AZKVWQKMDGGDSV-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Iridoids and derivatives",NA,NA,NA,NA,NA
"FWKQNCXZGNBPFD-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","Guaianes",NA,NA,NA,NA,NA
"RAQNTCRNSXYLAH-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"RZBFPDQKWUWUCK-UHFFFAOYNA-N","Completed","Organic compounds","Alkaloids and derivatives","Aspidospermatan-type alkaloids",NA,"Aspidospermatan-type alkaloids",NA,NA,NA,NA,NA
"LKRDZKPBAOKJBT-CNPIRKNPSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","Cardenolides and derivatives","Cardenolide glycosides and derivatives",NA,NA,NA,NA
"UIUKQADPLSFRBN-NIJWRPTQSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Limonoids",NA,NA,NA,NA,NA
"NPNNKDMSXVRADT-WEVVVXLNSA-N","Completed","Organic compounds","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",NA,NA,NA,NA,NA
"FSRDIJIAQPSMMR-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Depsides and depsidones",NA,"Depsides and depsidones",NA,NA,NA,NA,NA
"CTVPIRVYDMQPJY-QXMHVHEDSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters",NA,NA,NA,NA,NA
"SGLTWOYPCRYYKV-IWQZZHSRSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acids","Carboxylic acids",NA,NA,NA,NA,NA
"ODNMTIVRLHXQTE-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","Chromones",NA,NA,NA,NA,NA
"VJQANBSDAGCDJE-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides","N-acyl amines",NA,NA,NA,NA,NA
"PKRPFNXROFUNDE-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Furanocoumarins","Linear furanocoumarins","Psoralens","5-methoxypsoralens",NA,NA,NA
"PBFGAFDJVQAMRS-CXMRTOPHSA-N","Completed","Organic compounds","Alkaloids and derivatives",NA,NA,"Alkaloids and derivatives",NA,NA,NA,NA,NA
"JFZVCQKUYHJMKO-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids","Linear diarylheptanoids",NA,NA,NA,NA,NA
"WIECKRBAELCFOB-WCVPGHNESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols","Triacylglycerols",NA,NA,NA,NA,NA
"CQOVPNPJLQNMDC-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides",NA,NA,NA,NA,NA
"PACOALGXOJLUSI-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Hexacarboxylic acids and derivatives","Hexacarboxylic acids and derivatives",NA,NA,NA,NA,NA
"IFUHYCWRGCGCNL-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WHUUTDBJXJRKMK-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Glutamic acid and derivatives",NA,NA,NA
"XBSQTYHEGZTYJE-REPOFGKESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",NA,NA,NA,NA,NA
"CDDYZYIBFIQEGM-ZWKOTPCHSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolizines",NA,"Quinolizines",NA,NA,NA,NA,NA
"SDQGXNQDYJJFFE-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",NA,NA,NA,NA,NA
"SNFRINMTRPQQLE-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Rhamnofolane and daphnane diterpenoids",NA,NA,NA,NA,NA
"RVMMNSZDIADWFA-UHFFFAOYSA-O","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QDSDUIWGMCGLHI-VTULTLKESA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Tannins",NA,"Tannins",NA,NA,NA,NA,NA
"LZNVYDBZNDMGNJ-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYCCNLKFNBMCIU-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Sphingolipids","Ceramides","Long-chain ceramides",NA,NA,NA,NA,NA
"MAACOUPDBRTVKZ-USDCKGJFSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"FSAVDKDHPDSCTO-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Halobenzenes","Chlorobenzenes","Dichlorobenzenes",NA,NA,NA,NA
"KUGNSEAHJVSMAJ-IRXDYDNUSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives",NA,NA,NA,NA
"KIQQMECNKUGGKA-NMYWJIRASA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid esters","Steroid esters",NA,NA,NA,NA,NA
"JFLAOPHOUGDFGC-ILADGKKJSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides","Flavonoid-3-O-glycosides",NA,NA,NA,NA
"BTHCJHQOYFUIMG-REYNEDSXSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Macrolides and analogues",NA,"Macrolides and analogues",NA,NA,NA,NA,NA
"ULBIMFHIPUGBOI-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"ZMXDDKWLCZADIW-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Carboxylic acid derivatives","Carboxylic acid amides","Tertiary carboxylic acid amides",NA,NA,NA,NA
"BWAZUXQZSXFTJK-VPTIGGDOSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Sesquiterpene lactones","Germacranolides and derivatives",NA,NA,NA,NA
"QHYFPLAXWXWDJP-GNQMFGHGSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones",NA,NA,NA,NA,NA
"PXEWPVIKVBSHLU-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Depsides and depsidones",NA,"Depsides and depsidones",NA,NA,NA,NA,NA
"QIWWLKDHHMGRQL-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Iridoid O-glycosides",NA,NA,NA,NA,NA
"LINCEHCWNRFISH-WMLDXEAASA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolizines",NA,"Quinolizines",NA,NA,NA,NA,NA
"VOZDDCMEFRAJHD-XMPZFKQGSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Coumaric acids and derivatives",NA,NA,NA,NA,NA
"UMKWAHOXPWRVRW-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Isocoumarins and derivatives",NA,"Isocoumarins and derivatives",NA,NA,NA,NA,NA
"VGJZPFMDBNZBTG-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives","Organosulfonamides",NA,NA,NA,NA,NA
"HVYWMOMLDIMFJA-DPAQBDIFSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Cholestane steroids","Cholesterols and derivatives",NA,NA,NA,NA,NA
"FVIZARNDLVOMSU-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids",NA,NA,NA,NA,NA
"DXAGBMWERLPHQP-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Depsides and depsidones",NA,"Depsides and depsidones",NA,NA,NA,NA,NA
"ZNVUQZAVBXKEGF-UHFFFAOYNA-N","Completed","Organic compounds","Lignans, neolignans and related compounds","Furanoid lignans","Tetrahydrofuran lignans","7,9'-epoxylignans",NA,NA,NA,NA,NA
"KQBVSIZPUWODNU-ZAFYYKOHSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","Cardenolides and derivatives","Cardenolide glycosides and derivatives",NA,NA,NA,NA
"ZISDTRGMDDVTKY-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Coumaric acids and derivatives",NA,NA,NA,NA,NA
"NPGWXTIWUUFYAB-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphatidylcholines",NA,NA,NA,NA,NA
"QKYMKDOHBLWSEL-YROCYRMSSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",NA,NA,NA,NA,NA
"VOHAPZCYHVKGHA-ZSIBMOKUSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Phosphatidylethanolamines",NA,NA,NA,NA,NA
"FQBKTTHDWBBWHB-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Diterpenoids",NA,NA,NA,NA,NA
"KMYWVDDIPVNLME-KQYNXXCUSA-M","Completed","Organic compounds","Nucleosides, nucleotides, and analogues","Purine nucleotides","Cyclic purine nucleotides","2',3'-cyclic purine nucleotides",NA,NA,NA,NA,NA
"GBABOYUKABKIAF-IELIFDKJSA-N","Completed","Organic compounds","Alkaloids and derivatives","Vinca alkaloids",NA,"Vinca alkaloids",NA,NA,NA,NA,NA
"OHRGHFXATDKGOV-MDKHPKFKSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols",NA,NA,NA,NA,NA
"HRUASHPCEMXOMR-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives",NA,NA,NA
"UKSIVJMJWXWJRY-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",NA,NA,NA,NA,NA
"GYUCMTKUEQLBJW-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"PQOVWWZVVIGRPP-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins","Cucurbitacin glycosides",NA,NA,NA,NA
"CBIDRCWHNCKSTO-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Isoprenoid phosphates","Isoprenoid phosphates",NA,NA,NA,NA,NA
"ZKRPGPZHULJLKJ-IMVLJIQESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Sphingolipids","Ceramides","Long-chain ceramides",NA,NA,NA,NA,NA
"GHCZAUBVMUEKKP-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",NA,NA,NA,NA,NA
"NXIXJPLNNMLKRR-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Furanocoumarins","Angular furanocoumarins",NA,NA,NA,NA,NA
"PNRVAHOSWLWYPO-UHFFFAOYNA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Tannins","Hydrolyzable tannins","Hydrolyzable tannins",NA,NA,NA,NA,NA
"WWROGCAUSKGAMX-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Anilides","Anilides",NA,NA,NA,NA,NA
"DORPKYRPJIIARM-GYAWPQPFSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","O-glycosyl compounds",NA,NA,NA,NA
"CTUJEHJOZXGIIE-VQTJNVASSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","8-prenylated flavans","8-prenylated flavanones",NA,NA,NA,NA
"ROPHOAFGZRNKDO-SNXTYUPGSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Hexacarboxylic acids and derivatives","Hexacarboxylic acids and derivatives",NA,NA,NA,NA,NA
"IDRKESNUEGURSD-VXPUYCOJSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Lysophosphatidylcholines","2-acyl-sn-glycero-3-phosphocholines",NA,NA,NA,NA
"MAUAGULXOHJIER-SRJJTFDTSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids","Linear diarylheptanoids",NA,NA,NA,NA,NA
"IBSRGCBHIASQMQ-BKBKCADHSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Leucine and derivatives",NA,NA,NA
"QDUKVMNUAQTMQW-UHFFFAOYSA-N","Completed","Organic compounds","Organohalogen compounds","Alkyl halides","Alkyl fluorides","Perfluoroalkyl sulfonic acid and derivatives","Perfluoroalkyl sulfonamides",NA,NA,NA,NA
"TXPRZPDVUZCNLB-YECGNMMBSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Oxocins",NA,"Oxocins",NA,NA,NA,NA,NA
"LPCRSLMVMNEPGT-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Saccharolipids",NA,"Saccharolipids",NA,NA,NA,NA,NA
"ZJJXGWJIGJFDTL-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","Benzenesulfonamides",NA,NA,NA,NA,NA
"CHNXZKVNWQUJIB-AYUYWISESA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",NA,NA,NA,NA,NA
"LASVNNIDKPXXMG-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene glycosides","Triterpene saponins",NA,NA,NA,NA
"ZIOIITMDKMWZOA-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Diterpene glycosides",NA,NA,NA,NA,NA
"LDCNDYYENAKDPZ-UHFFFAOYSA-N","Not Found",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MQLSOVRLZHTATK-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Terpene glycosides",NA,NA,NA,NA,NA
"CFJLERBDXYGARW-TVKJYDDYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides",NA,NA,NA,NA
"GOTAZLUFLPHQJU-MIUGBVLSSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides",NA,NA,NA,NA,NA
"KZNICNPSHKQLFF-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrrolidines","Pyrrolidones","Pyrrolidine-2-ones",NA,NA,NA,NA,NA
"UCAFTLMODRRASO-UHFFFAOYNA-N","Completed","Organic compounds","Organic acids and derivatives","Peptidomimetics","Depsipeptides","Depsipeptides",NA,NA,NA,NA,NA
"ZMJGSOSNSPKHNH-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyridoxamines","Pyridoxamine 5'-phosphates",NA,NA,NA,NA,NA
"SDUQYLNIPVEERB-QPPQHZFASA-N","Completed","Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides",NA,NA,NA,NA,NA
"LSWAGZSQKSSVQE-UHFFFAOYNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Isoindoles and derivatives",NA,"Isoindoles and derivatives",NA,NA,NA,NA,NA
"NIXOWILDQLNWCW-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Acrylic acids and derivatives","Acrylic acids",NA,NA,NA,NA,NA
"WSKWDXWDFFVUKX-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","O-methylated isoflavonoids","4'-O-methylated isoflavonoids","3'-hydroxy,4'-methoxyisoflavonoids",NA,NA,NA,NA
"JVIDANAJZDBKRL-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Terpene glycosides",NA,NA,NA,NA,NA
"AUJVQJHODMISJP-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Alkanolamines","1,2-aminoalcohols","N-acylethanolamines",NA,NA,NA
"BNOFKGXXHHZEMK-VJZQUVOGSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols","Triacylglycerols",NA,NA,NA,NA,NA
"URXPORXPKXWHEF-MSUUIHNZNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Lysophosphatidylethanolamines","2-acyl-sn-glycero-3-phosphoethanolamines",NA,NA,NA,NA
"OZLDULNKCVVHBV-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides","Dipeptides",NA,NA,NA,NA
"ZSLZBFCDCINBPY-UHFFFAOYNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl thioesters","Acyl CoAs",NA,NA,NA,NA,NA
"KHPCPRHQVVSZAH-GUNCLKARSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides","Fatty acyl glycosides of mono- and disaccharides",NA,NA,NA,NA,NA
"NBNTWDUNCHRWMT-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Diphenylmethanes","Diphenylmethanes",NA,NA,NA,NA,NA
"KBMHJSYYECHZKI-QOLMDKRLNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","Glycerophosphoethanolamines",NA,NA,NA,NA,NA
"MBBOMCVGYCRMEA-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indoles","3-alkylindoles",NA,NA,NA,NA,NA
"MRWHKENJCXAILM-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols","Triacylglycerols",NA,NA,NA,NA,NA
"SWWQQSDRUYSMAR-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Isoquinolines and derivatives","Benzylisoquinolines","Benzylisoquinolines",NA,NA,NA,NA,NA
"UTGBBPSEQPITLF-YBDHUMTRSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Secondary alcohols",NA,NA,NA,NA,NA
"RUZYUOTYCVRMRZ-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazinanes","Piperazines","N-arylpiperazines",NA,NA,NA,NA,NA
"MBMBGCFOFBJSGT-KUBAVDMBSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",NA,NA,NA,NA,NA
"IZUPBVBPLAPZRR-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenols","Halophenols","Chlorophenols","P-chlorophenols",NA,NA,NA,NA
"YGCFIWIQZPHFLU-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Organic sulfuric acids and derivatives",NA,"Organic sulfuric acids and derivatives",NA,NA,NA,NA,NA
"QDQJWSSPAMZRIA-AIWMZPBQSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Quassinoids",NA,NA,NA,NA,NA
